Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"MHB-Tree: A Distributed Spatial Index Method for Document Based NoSQL Database System","Ubiquitous Information Technologies and Applications","","","","10.1007/978-94-007-5857-5_53","Yan LiGyoungBae KimLongRi WenHaeYoung Bae","2013","http://link.springer.com/chapter/10.1007/978-94-007-5857-5_53","Chapter"
"From Earthquake Detection to Traffic Surveillance – About Information and Communication Infrastructures for Smart Cities","System Analysis and Modeling: Theory and Practice","","","","10.1007/978-3-642-36757-1_8","Joachim FischerJens-Peter RedlichBjörn ScheuermannJochen SchillerMesut GünesKai NagelPeter WagnerMarkus ScheidgenAnatolij ZubowIngmar EveslageRobert SombrutzkiFelix Juraschek","2013","http://link.springer.com/chapter/10.1007/978-3-642-36757-1_8","Chapter"
"Big Data Cluster Service Discovery: A System Application for Big Data Cluster Security Analysis","Data Science and Analytics","","","","10.1007/978-981-15-5830-6_28","Swagata PaulSajal SahaRadha Tamal Goswami","2020","http://link.springer.com/chapter/10.1007/978-981-15-5830-6_28","Chapter"
"Towards NoSQL Graph Data Warehouse for Big Social Data Analysis","Intelligent Systems Design and Applications","","","","10.1007/978-3-319-53480-0_95","Hajer AkidMounir Ben Ayed","2017","http://link.springer.com/chapter/10.1007/978-3-319-53480-0_95","Chapter"
"The Research of 3D Power Grid Based on Big Data","Intelligent Computing and Internet of Things","","","","10.1007/978-981-13-2384-3_9","Bing HeJin-xing HuGe Yang","2018","http://link.springer.com/chapter/10.1007/978-981-13-2384-3_9","Chapter"
"A Map-Based Web Search Interface Using Point of Interest Aggregation","Human Interface and the Management of Information. Information and Knowledge Design and Evaluation","","","","10.1007/978-3-319-07731-4_35","Kwangsoon JungSangchul AhnHeedong Ko","2014","http://link.springer.com/chapter/10.1007/978-3-319-07731-4_35","Chapter"
"Study of NoSQL Databases for Storing and Analyzing Traffic Data","Proceedings of 2nd International Conference on Communication, Computing and Networking","","","","10.1007/978-981-13-1217-5_56","Mankirat KaurSarbjeet SinghNaveen Aggarwal","2019","http://link.springer.com/chapter/10.1007/978-981-13-1217-5_56","Chapter"
"Emerging Trends in Big Data Analytics—A Study","ICCCE 2018","","","","10.1007/978-981-13-0212-1_57","G. Naga Rama Devi","2019","http://link.springer.com/chapter/10.1007/978-981-13-0212-1_57","Chapter"
"Analysis of Mining, Visual Analytics Tools and Techniques in Space and Time","Proceedings of the Second International Conference on Computer and Communication Technologies","","","","10.1007/978-81-322-2523-2_53","K. NandhiniI. Elizabeth Shanthi","2016","http://link.springer.com/chapter/10.1007/978-81-322-2523-2_53","Chapter"
"A Storage Model for Large Scale Web-Based Learning Systems Based on Concept Tree","ICGG 2018 - Proceedings of the 18th International Conference on Geometry and Graphics","","","","10.1007/978-3-319-95588-9_50","Hongming CaiZheng WangJingjing LiHaiyan YuYuanjun HeYonggen Gu","2019","http://link.springer.com/chapter/10.1007/978-3-319-95588-9_50","Chapter"
"SQL or NoSQL? Contrasting Approaches to the Storage, Manipulation and Analysis of Spatio-temporal Online Social Network Data","Computational Science and Its Applications – ICCSA 2014","","","","10.1007/978-3-319-09144-0_16","Adrian Tear","2014","http://link.springer.com/chapter/10.1007/978-3-319-09144-0_16","Chapter"
"An Efficient In-Memory R-Tree Construction Scheme for Spatio-Temporal Data Stream","Service-Oriented Computing – ICSOC 2018 Workshops","","","","10.1007/978-3-030-17642-6_22","Ting ZhangLianghuai YangDonghai ShenYulei Fan","2019","http://link.springer.com/chapter/10.1007/978-3-030-17642-6_22","Chapter"
"Sphinx: Empowering Impala for Efficient Execution of SQL Queries on Big Spatial Data","Advances in Spatial and Temporal Databases","","","","10.1007/978-3-319-64367-0_4","Ahmed EldawyIbrahim SabekMostafa ElganainyAmmar BakeerAhmed AbdelmotalebMohamed F. Mokbel","2017","http://link.springer.com/chapter/10.1007/978-3-319-64367-0_4","Chapter"
"Social Media Data Integration: From Data Lake to NoSQL Data Warehouse","Intelligent Systems Design and Applications","","","","10.1007/978-3-030-71187-0_64","Hichem DabbèchiNahla Zaaboub HaddarHaytham ElghazelKais Haddar","2021","http://link.springer.com/chapter/10.1007/978-3-030-71187-0_64","Chapter"
"Research on Cross-Media Retrieval of Collaborative Plotted Multimedia Data Based on Container-Based Cloud Platform and Deep Learning","Computer Supported Cooperative Work and Social Computing","","","","10.1007/978-981-13-3044-5_30","Xiaolan XieQiangqing ZhengXinrong LiXiaochun ChengZhihong Guo","2019","http://link.springer.com/chapter/10.1007/978-981-13-3044-5_30","Chapter"
"Storing and Indexing IoT Context for Smart City Applications","Internet of Things, Smart Spaces, and Next Generation Networks and Systems","","","","10.1007/978-3-319-46301-8_10","Alexey MedvedevArkady ZaslavskyMaria Indrawan-SantiagoPari Delir HaghighiAlireza Hassani","2016","http://link.springer.com/chapter/10.1007/978-3-319-46301-8_10","Chapter"
"Identification of Neighbourhood Cities Based on Landuse Bigdata Using K-Means and K-NN Algorithm","Advances in Computational and Bio-Engineering","","","","10.1007/978-3-030-46939-9_10","S. VinilaKumariP. BhargaviS. Jyothi","2020","http://link.springer.com/chapter/10.1007/978-3-030-46939-9_10","Chapter"
"Hmfs: Efficient Support of Small Files Processing over HDFS","Algorithms and Architectures for Parallel Processing","","","","10.1007/978-3-319-11194-0_5","Cairong YanTie LiYongfeng HuangYanglan Gan","2014","http://link.springer.com/chapter/10.1007/978-3-319-11194-0_5","Chapter"
"Testbeds, Attacks, and Dataset Generation for Big Data Cluster: A System Application for Big Data Platform Security Analysis","Progress in Computing, Analytics and Networking","","","","10.1007/978-981-15-2414-1_55","Swagata PaulSajal SahaR. T. Goswami","2020","http://link.springer.com/chapter/10.1007/978-981-15-2414-1_55","Chapter"
"Massive Semi-structured Data Platform Based on Elasticsearch and MongoDB","Signal and Information Processing, Networking and Computers","","","","10.1007/978-981-33-4102-9_105","Yue Du","2021","http://link.springer.com/chapter/10.1007/978-981-33-4102-9_105","Chapter"
"A Novel Big Data Platform for City Power Grid Status Estimation","Data Mining and Big Data","","","","10.1007/978-981-32-9563-6_29","Wuhan LinYuanjun GuoZhile YangJuncheng ZhuYing WangYuquan LiuYong Wang","2019","http://link.springer.com/chapter/10.1007/978-981-32-9563-6_29","Chapter"
"Analysis of the Activity of Territorial Communities Using Information Technology of Big Data Based on the Entity-Characteristic Mode","Advances in Intelligent Systems and Computing III","","","","10.1007/978-3-030-01069-0_11","Nataliya ShakhovskaO. DudaO. MatsiukYuriy BolyubashRoman Vovnyanka","2019","http://link.springer.com/chapter/10.1007/978-3-030-01069-0_11","Chapter"
"Classifying Big Data Analytic Approaches: A Generic Architecture","Software Technologies","","","","10.1007/978-3-319-93641-3_13","Yudith CardinaleSonia GuehisMarta Rukoz","2018","http://link.springer.com/chapter/10.1007/978-3-319-93641-3_13","Chapter"
"Scalable Architecture, Storage and Visualization Approaches for Time Series Analysis Systems","Data Management Technologies and Applications","","","","10.1007/978-3-030-54595-6_4","Eduardo DuarteDiogo GomesDavid CamposRui L. Aguiar","2020","http://link.springer.com/chapter/10.1007/978-3-030-54595-6_4","Chapter"
"Evaluating Several Design Patterns and Trends in Big Data Warehousing Systems","Advanced Information Systems Engineering","","","","10.1007/978-3-319-91563-0_28","Carlos CostaMaribel Yasmina Santos","2018","http://link.springer.com/chapter/10.1007/978-3-319-91563-0_28","Chapter"
"Location-Aware WBAN Data Monitoring System Based on NoSQL","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-10-0281-6_13","Yan LiByeong-Seok Shin","2015","http://link.springer.com/chapter/10.1007/978-981-10-0281-6_13","Chapter"
"Parallel Stream Processing with MPI for Video Analytics and Data Visualization","High Performance Computing Systems","","","","10.1007/978-3-030-41050-6_7","Adriano VogelCassiano RistaGabriel JustoEndrius EwaldDalvan GrieblerGabriele MencagliLuiz Gustavo Fernandes","2020","http://link.springer.com/chapter/10.1007/978-3-030-41050-6_7","Chapter"
"From Metadata Catalogs to Distributed Data Processing for Smart City Platforms and Services: A Study on the Interplay of CKAN and Hadoop","Cloud Computing and Service Science","","","","10.1007/978-3-319-94959-8_7","Robert ScholzNikolay TcholtchevPhilipp LämmelIna Schieferdecker","2018","http://link.springer.com/chapter/10.1007/978-3-319-94959-8_7","Chapter"
"Using Knowledge Graphs to Search an Enterprise Data Lake","The Semantic Web: ESWC 2019 Satellite Events","","","","10.1007/978-3-030-32327-1_46","Stefan SchmidCory HensonTuan Tran","2019","http://link.springer.com/chapter/10.1007/978-3-030-32327-1_46","Chapter"
"Overview of Data Storing Techniques in Citizen Science Applications","New Trends in Databases and Information Systems","","","","10.1007/978-3-030-00063-9_22","Jiri MustoAjantha Dahanayake","2018","http://link.springer.com/chapter/10.1007/978-3-030-00063-9_22","Chapter"
"Ontological Based Approach of Integrating Big Data: Issues and Prospects","ICDSMLA 2019","","","","10.1007/978-981-15-1420-3_38","Jeelani AhmedMuqeem Ahmed","2020","http://link.springer.com/chapter/10.1007/978-981-15-1420-3_38","Chapter"
"Massive Spatio-Temporal Mobility Data: An Empirical Experience on Data Management Techniques","Web and Wireless Geographical Information Systems","","","","10.1007/978-3-030-60952-8_5","Sergio Di MartinoVincenzo Norman Vitale","2020","http://link.springer.com/chapter/10.1007/978-3-030-60952-8_5","Chapter"
"From Big Data to Big Data Mining: Challenges, Issues, and Opportunities","Database Systems for Advanced Applications","","","","10.1007/978-3-642-40270-8_1","Dunren CheMejdl SafranZhiyong Peng","2013","http://link.springer.com/chapter/10.1007/978-3-642-40270-8_1","Chapter"
"A Hadoop Extension for Analysing Spatiotemporally Referenced Events","Proceedings of the International Conference on Advanced Intelligent Systems and Informatics 2017","","","","10.1007/978-3-319-64861-3_85","Mohamed S. BakliMahmoud A. SakrTaysir Hassan A. Soliman","2018","http://link.springer.com/chapter/10.1007/978-3-319-64861-3_85","Chapter"
"“Big” Data Management in Cloud Computing Environment","Harmony Search and Nature Inspired Optimization Algorithms","","","","10.1007/978-981-13-0761-4_68","Mohit AgarwalGur Mauj Saran Srivastava","2019","http://link.springer.com/chapter/10.1007/978-981-13-0761-4_68","Chapter"
"IoT-Based Big Data Storage Systems in Cloud Computing","Proceedings of Second International Conference on Smart Energy and Communication","","","","10.1007/978-981-15-6707-0_30","Prachi ShahAmit Kr. JainTarun MishraGarima Mathur","2021","http://link.springer.com/chapter/10.1007/978-981-15-6707-0_30","Chapter"
"Harnessing Remote Sensing for Civil Engineering: Then, Now, and Tomorrow","Applications of Geomatics in Civil Engineering","","","","10.1007/978-981-13-7067-0_1","Debra F. Laefer","2020","http://link.springer.com/chapter/10.1007/978-981-13-7067-0_1","Chapter"
"Understanding Concepts, Future Trends, and Case Studies of Big Data Technologies","Proceedings of 2nd International Conference on Communication, Computing and Networking","","","","10.1007/978-981-13-1217-5_96","Khyati AhlawatAmit Prakash Singh","2019","http://link.springer.com/chapter/10.1007/978-981-13-1217-5_96","Chapter"
"A Graph Based Analysis of User Mobility for a Smart City Project","Next Generation Computing Technologies on Computational Intelligence","","","","10.1007/978-981-15-1718-1_12","Jai Prakash VermaSapan H. MankadSanjay Garg","2019","http://link.springer.com/chapter/10.1007/978-981-15-1718-1_12","Chapter"
"Covid-19 Containment: Demystifying the Research Challenges and Contributions Leveraging Digital Intelligence Technologies","Machine Intelligence and Smart Systems","","","","10.1007/978-981-33-4893-6_18","Chellammal SurianarayananPethuru Raj Chelliah","2021","http://link.springer.com/chapter/10.1007/978-981-33-4893-6_18","Chapter"
"Big Data, Simulations and HPC Convergence","Big Data Benchmarking","","","","10.1007/978-3-319-49748-8_1","Geoffrey FoxJudy QiuShantenu JhaSaliya EkanayakeSupun Kamburugamuve","2016","http://link.springer.com/chapter/10.1007/978-3-319-49748-8_1","Chapter"
"A Corpus-Driven and Functional Analysis of the Use of NP-of Phrases in English Thesis Abstracts by Novice and More Advanced Writers","Asian Research on English for Specific Purposes","","","","10.1007/978-981-15-1037-3_11","Jing Li","2020","http://link.springer.com/chapter/10.1007/978-981-15-1037-3_11","Chapter"
