Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Social Media Data Integration: From Data Lake to NoSQL Data Warehouse","Intelligent Systems Design and Applications","","","","10.1007/978-3-030-71187-0_64","Hichem DabbèchiNahla Zaaboub HaddarHaytham ElghazelKais Haddar","2021","http://link.springer.com/chapter/10.1007/978-3-030-71187-0_64","Chapter"
"NoSQL Overview and Performance Testing of HBase Over Multiple Nodes with MySQL","Emerging Technologies in Data Mining and Information Security","","","","10.1007/978-981-13-1498-8_24","Nabanita DasSwagata PaulBidyut Biman SarkarSatyajit Chakrabarti","2019","http://link.springer.com/chapter/10.1007/978-981-13-1498-8_24","Chapter"
"Comparison of Various NoSQL Databases for Unstructured Industrial Data","Software Engineering Perspectives in Intelligent Systems","","","","10.1007/978-3-030-63322-6_79","Andrea VaclavovaMichal Kebisek","2020","http://link.springer.com/chapter/10.1007/978-3-030-63322-6_79","Chapter"
"Data Exchange Between JADE and Simulink Model for Multi-agent Control Using NoSQL Database Redis","Advances in Computer, Communication and Computational Sciences","","","","10.1007/978-981-15-4409-5_62","Yulia BerezovskayaVladimir BerezovskyMargarita Undozerova","2021","http://link.springer.com/chapter/10.1007/978-981-15-4409-5_62","Chapter"
"Security Mechanisms in NoSQL DBMS’s: A Technical Review","Smart Technologies, Systems and Applications","","","","10.1007/978-3-030-46785-2_18","Irving L. SolsolHéctor F. VargasGloria M. Díaz","2020","http://link.springer.com/chapter/10.1007/978-3-030-46785-2_18","Chapter"
"NSM-Tree: Efficient Indexing on Top of NoSQL Databases","Algorithmic Aspects of Cloud Computing","","","","10.1007/978-3-319-57045-7_1","Ioannis KokotinisMarios KendeaNikolaos NodarakisAngeliki RaptiSpyros SioutasAthanasios K. TsakalidisDimitrios TsolisYannis Panagis","2017","http://link.springer.com/chapter/10.1007/978-3-319-57045-7_1","Chapter"
"Evaluation of Performance Metrics in GeoRediSpark Framework for GeoSpatial Query Processing","Advances in Decision Sciences, Image Processing, Security and Computer Vision","","","","10.1007/978-3-030-24322-7_41","G. V. N. PriyankaS. VasaviA. Anu Gokhale","2020","http://link.springer.com/chapter/10.1007/978-3-030-24322-7_41","Chapter"
"Enabling Standard Geospatial Capabilities in Spark for the Efficient Processing of Geospatial Big Data","Geographical Information Systems Theory, Applications and Management","","","","10.1007/978-3-030-29948-4_7","Jonathan EngélinusThierry BadardÉveline Bernier","2019","http://link.springer.com/chapter/10.1007/978-3-030-29948-4_7","Chapter"
"Use of Graph Databases in Tourist Navigation Application","Computational Science and Its Applications – ICCSA 2014","","","","10.1007/978-3-319-09156-3_46","Anahid BasiriPouria AmirianAdam Winstanley","2014","http://link.springer.com/chapter/10.1007/978-3-319-09156-3_46","Chapter"
"The Comparison of Processing Efficiency of Spatial Data for PostGIS and MongoDB Databases","Beyond Databases, Architectures and Structures. Paving the Road to Smart Data Processing and Analysis","","","","10.1007/978-3-030-19093-4_22","Dominik BartoszewskiAdam PiorkowskiMichal Lupa","2019","http://link.springer.com/chapter/10.1007/978-3-030-19093-4_22","Chapter"
"GI2NK Geographic Information: Need to Know Towards a More Demand-Driven Geospatial Workforce Education/Training System","Computational Science and Its Applications -- ICCSA 2016","","","","10.1007/978-3-319-42111-7_45","Mauro SalveminiLaura BerardiMonica SebilloGiuliana VitielloSergio FarruggiaBeniamino Murgante","2016","http://link.springer.com/chapter/10.1007/978-3-319-42111-7_45","Chapter"
"An Efficient Distributed Index for Geospatial Databases","Database and Expert Systems Applications","","","","10.1007/978-3-319-22849-5_3","Le Hong VanAtsuhiro Takasu","2015","http://link.springer.com/chapter/10.1007/978-3-319-22849-5_3","Chapter"
"Estimating the Environmental Impact of Agriculture by Means of Geospatial and Big Data Analysis: The Case of Catalonia","From Science to Society","","","","10.1007/978-3-319-65687-8_4","Andreas KamilarisAnton AssumpcioAugust Bonmati BlasiMarta TorrellasFrancesc X. Prenafeta-Boldú","2018","http://link.springer.com/chapter/10.1007/978-3-319-65687-8_4","Chapter"
"Big Data Analytics Framework for Spatial Data","Big Data Analytics","","","","10.1007/978-3-030-04780-1_17","Purnima ShahSanjay Chaudhary","2018","http://link.springer.com/chapter/10.1007/978-3-030-04780-1_17","Chapter"
"Analysis of Mining, Visual Analytics Tools and Techniques in Space and Time","Proceedings of the Second International Conference on Computer and Communication Technologies","","","","10.1007/978-81-322-2523-2_53","K. NandhiniI. Elizabeth Shanthi","2016","http://link.springer.com/chapter/10.1007/978-81-322-2523-2_53","Chapter"
"Managing Physical Schemas in MongoDB Stores","Advances in Conceptual Modeling","","","","10.1007/978-3-030-65847-2_15","Pablo D. Muñoz-SánchezCarlos Javier Fernández CandelJesús García MolinaDiego Sevilla Ruiz","2020","http://link.springer.com/chapter/10.1007/978-3-030-65847-2_15","Chapter"
"Evaluating Several Design Patterns and Trends in Big Data Warehousing Systems","Advanced Information Systems Engineering","","","","10.1007/978-3-319-91563-0_28","Carlos CostaMaribel Yasmina Santos","2018","http://link.springer.com/chapter/10.1007/978-3-319-91563-0_28","Chapter"
"Urban Climate Data Sensing, Warehousing, and Analysis: A Case Study in the City of Abu Dhabi, United Arab Emirates","Data Analytics for Renewable Energy Integration. Technologies, Systems and Society","","","","10.1007/978-3-030-04303-2_12","Prajowal ManandharPrashanth Reddy MarpuZeyar Aung","2018","http://link.springer.com/chapter/10.1007/978-3-030-04303-2_12","Chapter"
"Classifying Big Data Analytic Approaches: A Generic Architecture","Software Technologies","","","","10.1007/978-3-319-93641-3_13","Yudith CardinaleSonia GuehisMarta Rukoz","2018","http://link.springer.com/chapter/10.1007/978-3-319-93641-3_13","Chapter"
"Towards a Novel Architecture of Smart Campuses Based on Spatial Data Infrastructure and Distributed Ontology","Intelligent Systems and Applications","","","","10.1007/978-3-030-82199-9_45","Viet Nguyen HoangPhieu Le ThanhLinh Ong Thi MyLoc Cu VinhViet Truong Xuan","2022","http://link.springer.com/chapter/10.1007/978-3-030-82199-9_45","Chapter"
"Overview of Data Storing Techniques in Citizen Science Applications","New Trends in Databases and Information Systems","","","","10.1007/978-3-030-00063-9_22","Jiri MustoAjantha Dahanayake","2018","http://link.springer.com/chapter/10.1007/978-3-030-00063-9_22","Chapter"
"“Big” Data Management in Cloud Computing Environment","Harmony Search and Nature Inspired Optimization Algorithms","","","","10.1007/978-981-13-0761-4_68","Mohit AgarwalGur Mauj Saran Srivastava","2019","http://link.springer.com/chapter/10.1007/978-981-13-0761-4_68","Chapter"
"Open-Source Search Engines in the Cloud","Knowledge Discovery, Knowledge Engineering and Knowledge Management","","","","10.1007/978-3-319-52758-1_7","Khaled Nagi","2016","http://link.springer.com/chapter/10.1007/978-3-319-52758-1_7","Chapter"
"Understanding Concepts, Future Trends, and Case Studies of Big Data Technologies","Proceedings of 2nd International Conference on Communication, Computing and Networking","","","","10.1007/978-981-13-1217-5_96","Khyati AhlawatAmit Prakash Singh","2019","http://link.springer.com/chapter/10.1007/978-981-13-1217-5_96","Chapter"
"Providing Open Environmental Data—The Scalable and Web-Friendly Way","Advances and New Trends in Environmental Informatics","","","","10.1007/978-3-319-99654-7_2","Maria C. BorgesFrank PallasMarco Peise","2018","http://link.springer.com/chapter/10.1007/978-3-319-99654-7_2","Chapter"
"Analysis of the Activity of Territorial Communities Using Information Technology of Big Data Based on the Entity-Characteristic Mode","Advances in Intelligent Systems and Computing III","","","","10.1007/978-3-030-01069-0_11","Nataliya ShakhovskaO. DudaO. MatsiukYuriy BolyubashRoman Vovnyanka","2019","http://link.springer.com/chapter/10.1007/978-3-030-01069-0_11","Chapter"
"Analysis of Transformation Tools Applicable on NewSQL Databases","Software Engineering and Algorithms","","","","10.1007/978-3-030-77442-4_16","Sarah Myriam Lydia HahnIonela CherejaOliviu Matei","2021","http://link.springer.com/chapter/10.1007/978-3-030-77442-4_16","Chapter"
"Massive Semi-structured Data Platform Based on Elasticsearch and MongoDB","Signal and Information Processing, Networking and Computers","","","","10.1007/978-981-33-4102-9_105","Yue Du","2021","http://link.springer.com/chapter/10.1007/978-981-33-4102-9_105","Chapter"
"A Cloud Computing Workflow for Managing Oceanographic Data","Advances in Service-Oriented and Cloud Computing","","","","10.1007/978-3-319-79090-9_5","Salma AllamAntonino GallettaLorenzo CarnevaleMoulay Ali BekriRachid El OuahbiMassimo Villari","2018","http://link.springer.com/chapter/10.1007/978-3-319-79090-9_5","Chapter"
"Towards a Real-Time Big GeoData Geolocation System Based on Visual and Textual Features","Computational Collective Intelligence","","","","10.1007/978-3-319-45246-3_39","Sarra HasniSami Faiz","2016","http://link.springer.com/chapter/10.1007/978-3-319-45246-3_39","Chapter"
"On the Use of Social Trajectory-Based Clustering Methods for Public Transport Optimization","Citizen in Sensor Networks","","","","10.1007/978-3-319-04178-0_6","Jordi NinDavid CarreraDaniel Villatoro","2014","http://link.springer.com/chapter/10.1007/978-3-319-04178-0_6","Chapter"
"20 Years of AGILE","Societal Geo-innovation","","","","10.1007/978-3-319-56759-4_20","Hardy PundtFred Toppen","2017","http://link.springer.com/chapter/10.1007/978-3-319-56759-4_20","Chapter"
"Storing and Indexing IoT Context for Smart City Applications","Internet of Things, Smart Spaces, and Next Generation Networks and Systems","","","","10.1007/978-3-319-46301-8_10","Alexey MedvedevArkady ZaslavskyMaria Indrawan-SantiagoPari Delir HaghighiAlireza Hassani","2016","http://link.springer.com/chapter/10.1007/978-3-319-46301-8_10","Chapter"
"Some Aspects of the Method for Tourist Route Creation","Advances in Artificial Systems for Medicine and Education II","","","","10.1007/978-3-030-12082-5_48","Nataliya ShakhovskaKhrystyna ShakhovskaSolomia Fedushko","2020","http://link.springer.com/chapter/10.1007/978-3-030-12082-5_48","Chapter"
"Modelling and Designing Spatial and Temporal Big Data for Analytics","Computer and Information Sciences","","","","10.1007/978-3-030-00840-6_12","Sinan KeskinAdnan Yazıcı","2018","http://link.springer.com/chapter/10.1007/978-3-030-00840-6_12","Chapter"
"IoT-Based Big Data Storage Systems in Cloud Computing","Proceedings of Second International Conference on Smart Energy and Communication","","","","10.1007/978-981-15-6707-0_30","Prachi ShahAmit Kr. JainTarun MishraGarima Mathur","2021","http://link.springer.com/chapter/10.1007/978-981-15-6707-0_30","Chapter"
"Cloud Search Based Applications for Big Data - Challenges and Methodologies for Acceleration","Adaptive Resource Management and Scheduling for Cloud Computing","","","","10.1007/978-3-319-28448-4_13","George SuciuAna Maria SticlanCristina ButcaAlexandru VulpeAlexandru StancuSimona Halunga","2015","http://link.springer.com/chapter/10.1007/978-3-319-28448-4_13","Chapter"
"Progressive Growth of ETL Tools: A Literature Review of Past to Equip Future","Rising Threats in Expert Applications and Solutions","","","","10.1007/978-981-15-6014-9_45","Monika PatelDhiren B. Patel","2021","http://link.springer.com/chapter/10.1007/978-981-15-6014-9_45","Chapter"
"The Design of a Collaborative Social Network for Watershed Science","Geo-Informatics in Resource Management and Sustainable Ecosystem","","","","10.1007/978-3-662-45737-5_10","Michael P. McGuireMartin C. Roberge","2015","http://link.springer.com/chapter/10.1007/978-3-662-45737-5_10","Chapter"
"A Focused Crawler for Web Feature Service and Web Map Service Discovering","Web and Wireless Geographical Information Systems","","","","10.1007/978-3-030-60952-8_12","Víctor Macêdo AlexandrinoGiovanni ComarelaAltigran Soares da SilvaJugurta Lisboa-Filho","2020","http://link.springer.com/chapter/10.1007/978-3-030-60952-8_12","Chapter"
"Smart City: Recent Advances and Research Issues","Inventive Systems and Control","","","","10.1007/978-981-16-1395-1_7","Bonani PaulSarat Kr. Chettri","2021","http://link.springer.com/chapter/10.1007/978-981-16-1395-1_7","Chapter"
"A Benchmark to Evaluate Mobile Video Upload to Cloud Infrastructures","Big Data Benchmarks, Performance Optimization, and Emerging Hardware","","","","10.1007/978-3-319-13021-7_5","Afsin AkdoganHien ToSeon Ho KimCyrus Shahabi","2014","http://link.springer.com/chapter/10.1007/978-3-319-13021-7_5","Chapter"
"Information Systems for Processes Maintenance in Socio-communication and Resource Networks of the Smart Cities","Advances in Intelligent Systems and Computing III","","","","10.1007/978-3-030-01069-0_14","Danylo TabachyshynNataliia KunanetsMykolay KarpinskiOleksiy DudaOleksandr Matsiuk","2019","http://link.springer.com/chapter/10.1007/978-3-030-01069-0_14","Chapter"
"Desidoo, a Big-Data Application to Join the Online and Real-World Marketplaces","New Trends in Databases and Information Systems","","","","10.1007/978-3-319-01863-8_19","Daniele ApilettiFabio Forno","2014","http://link.springer.com/chapter/10.1007/978-3-319-01863-8_19","Chapter"
"Implications of Data Density and Length of Collection Period for Population Estimations Using Social Media Data","Geographical Information Systems Theory, Applications and Management","","","","10.1007/978-3-030-06010-7_4","Samuel Lee Toepke","2019","http://link.springer.com/chapter/10.1007/978-3-030-06010-7_4","Chapter"
"Ontological Based Approach of Integrating Big Data: Issues and Prospects","ICDSMLA 2019","","","","10.1007/978-981-15-1420-3_38","Jeelani AhmedMuqeem Ahmed","2020","http://link.springer.com/chapter/10.1007/978-981-15-1420-3_38","Chapter"
"Storing Long-Lived Concurrent Schema and Data Versions in Relational Databases","New Trends in Database and Information Systems II","","","","10.1007/978-3-319-10518-5_8","Bob WallRafal Angryk","2015","http://link.springer.com/chapter/10.1007/978-3-319-10518-5_8","Chapter"
"A Big Geo Data Query Framework to Correlate Open Data with Social Network Geotagged Posts","Societal Geo-innovation","","","","10.1007/978-3-319-56759-4_11","Gloria BordognaSteven CapelliGiuseppe Psaila","2017","http://link.springer.com/chapter/10.1007/978-3-319-56759-4_11","Chapter"
"A Multimodal Approach for Cultural Heritage Information Retrieval","Computational Science and Its Applications – ICCSA 2018","","","","10.1007/978-3-319-95162-1_15","Erasmo PurificatoAntonio M. Rinaldi","2018","http://link.springer.com/chapter/10.1007/978-3-319-95162-1_15","Chapter"
"Digital Food Product Traceability: Using Blockchain in the International Commerce","Digital Science","","","","10.1007/978-3-030-02351-5_27","Borja BordelPierre LebigotRamón AlcarriaTomás Robles","2019","http://link.springer.com/chapter/10.1007/978-3-030-02351-5_27","Chapter"
"Healthcare Data Analysis Using R and MongoDB","Big Data Analytics","","","","10.1007/978-981-10-6620-7_69","Sonia SainiShruti Kohli","2018","http://link.springer.com/chapter/10.1007/978-981-10-6620-7_69","Chapter"
"IoT-Big Data Software Ecosystems for Smart Cities Sensing: Challenges, Open Issues, and Emerging Solutions","Advances in Service-Oriented and Cloud Computing","","","","10.1007/978-3-319-72125-5_1","Alexander D. CartierDavid H. LeeBurak KantarciLuca Foschini","2018","http://link.springer.com/chapter/10.1007/978-3-319-72125-5_1","Chapter"
"Data Fusion in the Environmental Domain","Environmental Software Systems. Fostering Information Sharing","","","","10.1007/978-3-642-41151-9_7","Hylke van der SchaafMike KobernusMarkus FalgenhauerJasmin PielorzKym Watson","2013","http://link.springer.com/chapter/10.1007/978-3-642-41151-9_7","Chapter"
"Information System for Automated Multicriterial Analytical Control of Geomagnetic Field and Space Weather Parameters","Geographical Information Systems Theory, Applications and Management","","","","10.1007/978-3-319-62618-5_7","Andrei VorobevGulnara Vorobeva (Shakirova)","2017","http://link.springer.com/chapter/10.1007/978-3-319-62618-5_7","Chapter"
"The Plan4business Approach to Transfer Open Data into Real Estate Businesses","Environmental Software Systems. Fostering Information Sharing","","","","10.1007/978-3-642-41151-9_55","Jan JežekTomáš MildorfKarel Charvát Jr.Karel Charvát","2013","http://link.springer.com/chapter/10.1007/978-3-642-41151-9_55","Chapter"
"Multimedia Data Management for Disaster Situation Awareness","Proceedings of International Symposium on Sensor Networks, Systems and Security","","","","10.1007/978-3-319-75683-7_10","Maria E. Presa ReyesSamira PouyanfarHector Cen ZhengHsin-Yu HaShu-Ching Chen","2018","http://link.springer.com/chapter/10.1007/978-3-319-75683-7_10","Chapter"
"Exploiting IoT Data Crossings for Gradual Pattern Mining Through Parallel Processing","ADBIS, TPDL and EDA 2020 Common Workshops and Doctoral Consortium","","","","10.1007/978-3-030-55814-7_9","Dickson Odhiambo OwuorAnne LaurentJoseph Onderi Orero","2020","http://link.springer.com/chapter/10.1007/978-3-030-55814-7_9","Chapter"
"Data in the 21st Century","Predictive Econometrics and Big Data","","","","10.1007/978-3-319-70942-0_1","Chaitanya Baru","2018","http://link.springer.com/chapter/10.1007/978-3-319-70942-0_1","Chapter"
"Emerging Trends in Big Data Analytics—A Study","ICCCE 2018","","","","10.1007/978-981-13-0212-1_57","G. Naga Rama Devi","2019","http://link.springer.com/chapter/10.1007/978-981-13-0212-1_57","Chapter"
"Civic Issues Reporting and Involvement of Volunteers as a Phenomenon in the Czech Republic","Environmental Software Systems. Infrastructures, Services and Applications","","","","10.1007/978-3-319-15994-2_14","Miroslav Kubásek","2015","http://link.springer.com/chapter/10.1007/978-3-319-15994-2_14","Chapter"
"Big Data Analytics: A Literature Review Paper","Advances in Data Mining. Applications and Theoretical Aspects","","","","10.1007/978-3-319-08976-8_16","Nada ElgendyAhmed Elragal","2014","http://link.springer.com/chapter/10.1007/978-3-319-08976-8_16","Chapter"
"Data Warhouses of Hybrid Type: Features of Construction","Advances in Computer Science for Engineering and Education II","","","","10.1007/978-3-030-16621-2_30","Valentyn TomashevskyiAndrii YatsyshynVolodymyr PasichnykNataliia KunanetsAntonii Rzheuskyi","2020","http://link.springer.com/chapter/10.1007/978-3-030-16621-2_30","Chapter"
"Using Materialized View as a Service of Scallop4SC for Smart City Application Services","Soft Computing in Big Data Processing","","","","10.1007/978-3-319-05527-5_6","Shintaro YamamotoShinsuke MatsumotoSachio SaikiMasahide Nakamura","2014","http://link.springer.com/chapter/10.1007/978-3-319-05527-5_6","Chapter"
"iSWoT: Service Oriented Architecture in the Cloud for the Semantic Web of Things","Advanced Information Networking and Applications","","","","10.1007/978-3-030-44041-1_103","Stelios BotonakisAimilios TzavarasEuripides G. M. Petrakis","2020","http://link.springer.com/chapter/10.1007/978-3-030-44041-1_103","Chapter"
"Knowledge Discovery in the SCADA Databases Used for the Municipal Power Supply System","Knowledge-Based Software Engineering","","","","10.1007/978-3-319-11854-3_1","Valery KamaevAlexey FinogeevAnton FinogeevSergey Shevchenko","2014","http://link.springer.com/chapter/10.1007/978-3-319-11854-3_1","Chapter"
"Development of System for Real-Time Collection, Sharing, and Use of Disaster Information","Geospatial Technologies for All","","","","10.1007/978-3-319-78208-9_11","Toshihiro OsaragiIkki Niwa","2018","http://link.springer.com/chapter/10.1007/978-3-319-78208-9_11","Chapter"
"ReSDaP: A Real-Time Data Provision System Architecture for Sensor Webs","Web and Wireless Geographical Information Systems","","","","10.1007/978-3-642-55334-9_6","Huan LiHong FanHuayi WuHao FengPengpeng Li","2014","http://link.springer.com/chapter/10.1007/978-3-642-55334-9_6","Chapter"
"Sentiment Analysis in Social Media with a Semantic Web Based Approach: Application to the French Presidential Elections 2017","Innovations in Smart Cities and Applications","","","","10.1007/978-3-319-74500-8_44","Mohamed El HamdouniHamza HanafiAdil BouktibMohamed BahraAbdelhadi Fennan","2018","http://link.springer.com/chapter/10.1007/978-3-319-74500-8_44","Chapter"
"A Comprehensive Survey and Open Challenges of Mining Bigdata","Information and Communication Technology for Intelligent Systems (ICTIS 2017) - Volume 1","","","","10.1007/978-3-319-63673-3_53","Bharat TidkeRupa MehtaJenish Dhanani","2018","http://link.springer.com/chapter/10.1007/978-3-319-63673-3_53","Chapter"
"Storing and Querying Semi-structured Spatio-Temporal Data in HBase","Web-Age Information Management","","","","10.1007/978-3-319-47121-1_26","Chong ZhangXiaoying ChenXiaosheng FengBin Ge","2016","http://link.springer.com/chapter/10.1007/978-3-319-47121-1_26","Chapter"
"Database Research Challenges and Opportunities of Big Graph Data","Big Data","","","","10.1007/978-3-642-39467-6_6","Alexandra Poulovassilis","2013","http://link.springer.com/chapter/10.1007/978-3-642-39467-6_6","Chapter"
"Calculating Error Bars on Inferences from Web Data","Intelligent Systems and Applications","","","","10.1007/978-3-030-01057-7_48","Kwabena NuamahAlan Bundy","2019","http://link.springer.com/chapter/10.1007/978-3-030-01057-7_48","Chapter"
"Towards Designing Conceptual Data Models for Big Data Warehouses: The Genomics Case","Information Systems","","","","10.1007/978-3-030-63396-7_1","João GalvãoAna LeonCarlos CostaMaribel Yasmina SantosÓscar Pastor López","2020","http://link.springer.com/chapter/10.1007/978-3-030-63396-7_1","Chapter"
"Clood CBR: Towards Microservices Oriented Case-Based Reasoning","Case-Based Reasoning Research and Development","","","","10.1007/978-3-030-58342-2_9","Ikechukwu Nkisi-OrjiNirmalie WiratungaChamath PalihawadanaJuan A. Recio-GarcíaDavid Corsar","2020","http://link.springer.com/chapter/10.1007/978-3-030-58342-2_9","Chapter"
"Social Profiles - Methods of Solving Socio-Economic Problems Using Digital Technologies and Big Data","Digital Transformation and Global Society","","","","10.1007/978-3-030-02843-5_35","Alexey Y. TimoninAlexander M. BershadskyAlexander S. BozhdayOleg S. Koshevoy","2018","http://link.springer.com/chapter/10.1007/978-3-030-02843-5_35","Chapter"
"Advanced Data Analytics and Visualisation for the Management of Human Perception of Safety and Security in Urban Spaces","Environmental Software Systems. Infrastructures, Services and Applications","","","","10.1007/978-3-319-15994-2_45","Panos MelasGianluca CorrendoLee MiddletonZoheir A. Sabeur","2015","http://link.springer.com/chapter/10.1007/978-3-319-15994-2_45","Chapter"
"Databases and Information Systems in the AI Era: Contributions from ADBIS, TPDL and EDA 2020 Workshops and Doctoral Consortium","ADBIS, TPDL and EDA 2020 Common Workshops and Doctoral Consortium","","","","10.1007/978-3-030-55814-7_1","Ladjel BellatrecheFadila BentayebMária BielikováOmar BoussaidBarbara CataniaPaolo CeravoloElena DemidovaMirian Halfeld FerrariMaria Teresa Gomez LopezCarmem S. HaraSlavica KordićIvan LukovićAndrea MannocciPaolo ManghiFrancesco OsborneChristos Papatheodorou","2020","http://link.springer.com/chapter/10.1007/978-3-030-55814-7_1","Chapter"
"Re-thinking Kernelized MLS Database Architectures in the Context of Cloud-Scale Data Stores","Engineering Secure Software and Systems","","","","10.1007/978-3-319-15618-7_7","Thuy D. NguyenMark GondreeJean KhosalimCynthia Irvine","2015","http://link.springer.com/chapter/10.1007/978-3-319-15618-7_7","Chapter"
"A Neural Network Approach for Solving Traffic-Flow Forecasting Based on the Historical Voyage Datasets: A Case Study on Hai Phong Roads","Proceedings of the 3rd International Conference on Sustainability in Civil Engineering","","","","10.1007/978-981-16-0053-1_42","Quang Hoc TranVan Truong VUQuang LEThi Lan Huong HOVan Hien LE","2021","http://link.springer.com/chapter/10.1007/978-981-16-0053-1_42","Chapter"
"Integration of a Real-Time Stochastic Routing Optimization Software with an Enterprise Resource Planner","Geographical Information Systems Theory, Applications and Management","","","","10.1007/978-3-319-29589-3_8","Pedro J. S. CardosoGabriela SchützJorge SemiãoJânio MonteiroJoão RodriguesAndriy MazayevEmanuel EyMicael Viegas","2016","http://link.springer.com/chapter/10.1007/978-3-319-29589-3_8","Chapter"
"EduBAI: An Educational Platform for Logic-Based Reasoning","Artificial Intelligence Applications and Innovations","","","","10.1007/978-3-030-19823-7_39","Dimitrios ArampatzisMaria DoulgerakiMichail GiannoulisEvropi StefanidiTheodore Patkos","2019","http://link.springer.com/chapter/10.1007/978-3-030-19823-7_39","Chapter"
"A Concept of a Virtual Research Environment for Long-Term Ecological Projects with Free and Open Source Software","Environmental Software Systems. Frameworks of eEnvironment","","","","10.1007/978-3-642-22285-6_26","Mirko FilettiAlbrecht Gnauck","2011","http://link.springer.com/chapter/10.1007/978-3-642-22285-6_26","Chapter"
"Towards Linked Data Conventions for Delivery of Environmental Data Using netCDF","Environmental Software Systems. Infrastructures, Services and Applications","","","","10.1007/978-3-319-15994-2_9","Jonathan YuNicholas J. CarAdam LeadbetterBruce A. SimonsSimon J. D. Cox","2015","http://link.springer.com/chapter/10.1007/978-3-319-15994-2_9","Chapter"
"Automatically Construct the Surface Visualization Model with DEM and the Geological Survey Data","Geo-Informatics in Resource Management and Sustainable Ecosystem","","","","10.1007/978-3-642-45025-9_58","Xiangyu YuYixian Xu","2013","http://link.springer.com/chapter/10.1007/978-3-642-45025-9_58","Chapter"
"Ontology Driven Conceptualization of Context-Dependent Data Streams and Streaming Databases","Computer Information Systems and Industrial Management","","","","10.1007/978-3-319-59105-6_21","Shreya BanerjeeAnirban Sarkar","2017","http://link.springer.com/chapter/10.1007/978-3-319-59105-6_21","Chapter"
"Exploiting Smart City Ontology and Citizens’ Profiles for Urban Data Exploration","On the Move to Meaningful Internet Systems. OTM 2018 Conferences","","","","10.1007/978-3-030-02610-3_21","Devis BianchiniValeria De AntonellisMassimiliano GardaMichele Melchiori","2018","http://link.springer.com/chapter/10.1007/978-3-030-02610-3_21","Chapter"
