Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Talreja, D., Kalambur, S., Lahiri, K., Raghavendra, P.","57201726384;56943369900;57217520962;57225838329;","Performance scaling of Cassandra on high-thread count servers industry/experience paper",2019,"ICPE 2019 - Proceedings of the 2019 ACM/SPEC International Conference on Performance Engineering",,,,"179","187",,1,"10.1145/3297663.3309668","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064805084&doi=10.1145%2f3297663.3309668&partnerID=40&md5=c22ac44772c9d4b0c2796da0c355265f",Conference Paper,"Final","",Scopus,2-s2.0-85064805084
"Martinez-Mosquera, D., Lujan-Mora, S., Navarrete, R., Mayorga, T.C., Herrera, H.R.V.","57194945843;6603381780;56209050900;57209973496;57209984409;","An approach to big data modeling for key-value NoSQL databases",2019,"RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao","2019","19",,"519","530",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069159608&partnerID=40&md5=e43842926729f04e6c5b6a0e80647d35",Article,"Final","",Scopus,2-s2.0-85069159608
"Dai, J.","57224783512;","SQL to NoSQL : What to do and How",2019,"IOP Conference Series: Earth and Environmental Science","234","1","012080","","",,1,"10.1088/1755-1315/234/1/012080","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063374764&doi=10.1088%2f1755-1315%2f234%2f1%2f012080&partnerID=40&md5=c3116f45e2ad323dd9a438d4d1385414",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85063374764
"Yilmaz, N., Alatli, O., Ciloglugil, B., Erdur, R.C.","57207449532;55516354100;17344839800;6508373389;","Evaluation of storage and query performance of sensor based Internet of Things data with MongoDB [Sensör tabanli Nesnelerin Interneti verilerinin MongoDB ile saklanma ve sorgulanma performansinin deǧerlendirilmesi]",2019,"2018 International Conference on Artificial Intelligence and Data Processing, IDAP 2018",,,"8620837","","",,,"10.1109/IDAP.2018.8620837","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062568441&doi=10.1109%2fIDAP.2018.8620837&partnerID=40&md5=5f5bcfa3efc935ff3852cbc6f0268e63",Conference Paper,"Final","",Scopus,2-s2.0-85062568441
"Huang, L., Zhu, Y., Wang, X., Khurshid, F.","57212573255;56256586200;57221484491;57194185648;","An Attribute-Based Fine-Grained Access Control Mechanism for HBase",2019,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","11706 LNCS",,,"44","59",,1,"10.1007/978-3-030-27615-7_4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077114928&doi=10.1007%2f978-3-030-27615-7_4&partnerID=40&md5=7151b092d0cba3d0e9da9cebfe83d7b2",Conference Paper,"Final","",Scopus,2-s2.0-85077114928
"Czerepicki, A.","57191829537;","Study on effectiveness of using column-oriented databases in the processing of measurement characteristics of an electric vehicle",2019,"Archives of Transport","51","3",,"77","84",,2,"10.5604/01.3001.0013.6164","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076578495&doi=10.5604%2f01.3001.0013.6164&partnerID=40&md5=679d5207e2f6d8b2718758e0a101c7a0",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85076578495
"Sangeeta Gupta","56959624000;","Unstructured Data Analysis with Passphrase-Based REST API NoSQL for Big Data in Cloud",2019,"Lecture Notes in Networks and Systems","74",,,"457","463",,,"10.1007/978-981-13-7082-3_52","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067654906&doi=10.1007%2f978-981-13-7082-3_52&partnerID=40&md5=130eecc35f7923e01a6567451c6c116b",Book Chapter,"Final","",Scopus,2-s2.0-85067654906
"Esbai, R., Elotmani, F., Belkadi, F.Z.","55639274600;57199325931;57209305039;","Toward automatic generation of column-oriented NoSQL databases in Big Data context",2019,"International journal of online and biomedical engineering","15","9",,"4","16",,3,"10.3991/ijoe.v15i09.10433","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067292099&doi=10.3991%2fijoe.v15i09.10433&partnerID=40&md5=9f352a9a69c742b6151f4351cfe190e4",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85067292099
"Eshtay, M., Sleit, A., Aldwairi, M.","56502356200;16644010900;35179101500;","Implementing bi-temporal properties into various NoSQL database categories",2019,"International Journal of Computing","18","1",,"45","52",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065498622&partnerID=40&md5=4930f88ee8ca6dd7e54126dff663592e",Article,"Final","",Scopus,2-s2.0-85065498622
"Reyes-Álvarez, L., Roldán-García, M.D.M., Aldana-Montes, J.F.","56436637600;6506807907;6507036317;","Tool for materializing OWL ontologies in a column-oriented database",2019,"Software - Practice and Experience","49","1",,"100","119",,2,"10.1002/spe.2645","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054858604&doi=10.1002%2fspe.2645&partnerID=40&md5=5b286d5cc999565a8e1fc44b4ae65018",Article,"Final","",Scopus,2-s2.0-85054858604
"Khourdifi, Y., Bahaj, M., Elalami, A.","57202871015;24922487300;57189498602;","A new approach for migration of a relational database into column-oriented nosql database on hadoop",2018,"Journal of Theoretical and Applied Information Technology","96","19",,"6607","",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055729362&partnerID=40&md5=7e85741b06f34716b2b3789633b7ffdb",Article,"Final","",Scopus,2-s2.0-85055729362
"Boumlik, A., Soussi, N., Bahaj, M.","57197770979;57193550788;24922487300;","Automatic data modeling transformation approach of NoSQL document and column stores to RDF",2018,"Journal of Theoretical and Applied Information Technology","96","15",,"5031","5041",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052077535&partnerID=40&md5=074bb9a9463c92ffb28d3b4be655bfef",Article,"Final","",Scopus,2-s2.0-85052077535
"Sutedi, Adji, T.B., Setiawan, N.A.","57195267636;24734043700;57215833019;","Developing Multiple Nested Schema to Reduce Data Redundancy in CONoSQLDB Schema",2018,"Proceedings of ICAITI 2018 - 1st International Conference on Applied Information Technology and Innovation: Toward A New Paradigm for the Design of Assistive Technology in Smart Home Care",,,"8686736","12","18",,,"10.1109/ICAITI.2018.8686736","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064750810&doi=10.1109%2fICAITI.2018.8686736&partnerID=40&md5=3e5e57c4c52e9cc4693bc7e6bce0ff7a",Conference Paper,"Final","",Scopus,2-s2.0-85064750810
"Abdelhedi, F., Ait Brahim, A., Zurfluh, G.","57206513787;57190393737;6507596657;","Formalizing the mapping of UML conceptual schemas to column-oriented databases",2018,"International Journal of Data Warehousing and Mining","14","3",,"44","68",,3,"10.4018/IJDWM.2018070103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050720715&doi=10.4018%2fIJDWM.2018070103&partnerID=40&md5=eefdb8fa5a2ae5a9ad382919b3b09262",Article,"Final","",Scopus,2-s2.0-85050720715
"Celesti, A., Fazio, M., Romano, A., Bramanti, A., Bramanti, P., Villari, M.","36166437800;7103169882;57190871275;23011171400;7005112597;12645423500;","An OAIS-based hospital information system on the cloud: Analysis of a NoSQL column-oriented approach",2018,"IEEE Journal of Biomedical and Health Informatics","22","3",,"1","7",,15,"10.1109/JBHI.2017.2681126","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046665734&doi=10.1109%2fJBHI.2017.2681126&partnerID=40&md5=bf225152e5a6feb123174dbee28cd9c1",Article,"Final","",Scopus,2-s2.0-85046665734
"Salgado, F., Pereira, J.L.","53880228800;57188549185;","Graph databases: Contextualization and exploratory study [Bases de dados em grafos: Contextualização e estudo exploratório]",2018,"Atas da Conferencia da Associacao Portuguesa de Sistemas de Informacao","2018-October",,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078541331&partnerID=40&md5=e03b58d6ad1a7860c43c897117cc49f4",Conference Paper,"Final","",Scopus,2-s2.0-85078541331
"Bousalem, Z., Cherti, I., Zhao, G.","57201667887;55572331900;35218519700;","Migration from relational databases to HBase: A feasibility assessment",2018,"Lecture Notes in Networks and Systems","25",,,"383","395",,1,"10.1007/978-3-319-69137-4_34","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063281659&doi=10.1007%2f978-3-319-69137-4_34&partnerID=40&md5=eb804b4c90c991eb3f4f132fb52348f8",Book Chapter,"Final","",Scopus,2-s2.0-85063281659
"de la Vega, A., García-Saiz, D., Blanco, C., Zorrilla, M., Sánchez, P.","57031617600;55027407200;57213021063;13005768500;57219994433;","Mortadelo: A model-driven framework for NoSQL database design",2018,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","11163 LNCS",,,"41","57",,2,"10.1007/978-3-030-00856-7_3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055821065&doi=10.1007%2f978-3-030-00856-7_3&partnerID=40&md5=8e1d42347a93bff21200ca87e0d78642",Conference Paper,"Final","",Scopus,2-s2.0-85055821065
"Weintraub, G., Gudes, E.","56829273400;7003552107;","Data integrity verification in column-oriented NoSQL databases",2018,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","10980 LNCS",,,"165","181",,2,"10.1007/978-3-319-95729-6_11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050546198&doi=10.1007%2f978-3-319-95729-6_11&partnerID=40&md5=39e26bacdcc03651185163cd4ec878bf",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85050546198
[No author name available],[No author id available],"32nd Annual IFIP WG 11.3 Conference on Data and Applications Security and Privacy, DBSec 2018",2018,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","10980 LNCS",,,"","",348,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050534547&partnerID=40&md5=a235decec71a46914804f6bd71260ff6",Conference Review,"Final","",Scopus,2-s2.0-85050534547
"El Malki, M., Hamadou, H.B., El Malki, N., Kopliku, A.","56736726100;57201321941;57202287626;43461309700;","MPT: Suite tools to support performance tuning in NoSQL systems",2018,"ICEIS 2018 - Proceedings of the 20th International Conference on Enterprise Information Systems","1",,,"127","134",,1,"10.5220/0006687601270134","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047738938&doi=10.5220%2f0006687601270134&partnerID=40&md5=4039b8c4ec56bd2ffc08d3521bac9f7c",Conference Paper,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85047738938
"Bathla, G., Rani, R., Aggarwal, H.","57197866300;55232407400;7003719927;","Comparative study of NoSQL databases for big data storage",2018,"International Journal of Engineering and Technology(UAE)","7","2",,"83","87",,6,"10.14419/ijet.v7i2.6.10072","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044058706&doi=10.14419%2fijet.v7i2.6.10072&partnerID=40&md5=26c07fa203145c02d0725530e00eb3d9",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85044058706
"Alami, L., Hafidi, I., Metrane, A.","57199326558;15753326700;9432787600;","Entity resolution in NoSQL data warehouse",2018,"Advances in Intelligent Systems and Computing","640",,,"51","59",,1,"10.1007/978-3-319-64719-7_5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037870561&doi=10.1007%2f978-3-319-64719-7_5&partnerID=40&md5=ed415fac70d815bbc4b31af19239c16c",Conference Paper,"Final","",Scopus,2-s2.0-85037870561
"Kim, H.-J., Ko, E.-J., Jeon, Y.-H., Lee, K.-H.","57196275111;57196275275;7201888443;56094984700;","Migration from RDBMS to Column-Oriented NoSQL: Lessons Learned and Open Problems",2018,"Lecture Notes in Electrical Engineering","461",,,"25","33",,7,"10.1007/978-981-10-6520-0_3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032490012&doi=10.1007%2f978-981-10-6520-0_3&partnerID=40&md5=51e778167c96886719865f21af1decfa",Conference Paper,"Final","",Scopus,2-s2.0-85032490012
[No author name available],[No author id available],"7th International Conference on Emerging Databases: Technologies, Applications, and Theory, EDB 2017",2018,"Lecture Notes in Electrical Engineering","461",,,"1","336",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032479345&partnerID=40&md5=f11cf994b87af307a52e8fc5a7e92e77",Conference Review,"Final","",Scopus,2-s2.0-85032479345
"Costa, C., Santos, M.Y.","57190760644;8407376200;","Big Data: State-of-the-art concepts, techniques, technologies, modeling approaches and research challenges",2017,"IAENG International Journal of Computer Science","44","3",,"285","301",,24,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028073996&partnerID=40&md5=51d13b35c2291ef10a6a8174756335c0",Article,"Final","",Scopus,2-s2.0-85028073996
"Ma, K., Yang, B.","36761221300;57126573300;","Column Access-aware In-stream Data Cache with Stream Processing Framework",2017,"Journal of Signal Processing Systems","86","2-3",,"191","205",,9,"10.1007/s11265-016-1117-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960124143&doi=10.1007%2fs11265-016-1117-6&partnerID=40&md5=3c3bcab1f5029f7f98372122b036b3f9",Article,"Final","",Scopus,2-s2.0-84960124143
"Zloch, M., Hienert, D., Conrad, S.","55582536100;49963420600;7102956675;","Towards a use case driven evaluation of database systems for RDF data storage - A case study for statistical data",2017,"CEUR Workshop Proceedings","1932",,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031048239&partnerID=40&md5=85b57d800d2e0068103001e420e1de7f",Conference Paper,"Final","",Scopus,2-s2.0-85031048239
[No author name available],[No author id available],"ICSOFT 2017 - Proceedings of the 12th International Conference on Software Technologies",2017,"ICSOFT 2017 - Proceedings of the 12th International Conference on Software Technologies",,,,"","",520,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029330871&partnerID=40&md5=78010fe1c033f75ddbf8088dd35c354a",Conference Review,"Final","",Scopus,2-s2.0-85029330871
"Messaoud, I.B., Ali, R.B., Feki, J.","55765001319;57195618112;35268586800;","From document warehouse to column-oriented NoSQL document warehouse",2017,"ICSOFT 2017 - Proceedings of the 12th International Conference on Software Technologies",,,,"85","94",,1,"10.5220/0006423500850094","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029302678&doi=10.5220%2f0006423500850094&partnerID=40&md5=206886d199b6ad1a33957c1d696129d3",Conference Paper,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85029302678
"Boussahoua, M., Boussaid, O., Bentayeb, F.","57195495656;8383254700;8863516000;","Logical schema for data warehouse on column-oriented NoSQL databases",2017,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","10439 LNCS",,,"247","256",,11,"10.1007/978-3-319-64471-4_20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028449580&doi=10.1007%2f978-3-319-64471-4_20&partnerID=40&md5=3047dd3c803631e9af010bac0148cfdf",Conference Paper,"Final","",Scopus,2-s2.0-85028449580
"Sipos, R.","55578334200;","Evaluation of NoSQL prototypes for the CMS conditions database",2016,"2015 IEEE Nuclear Science Symposium and Medical Imaging Conference, NSS/MIC 2015",,,"7581881","","",,,"10.1109/NSSMIC.2015.7581881","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994129966&doi=10.1109%2fNSSMIC.2015.7581881&partnerID=40&md5=97ccc094660c4b16daac35908f3e3905",Conference Paper,"Final","",Scopus,2-s2.0-84994129966
"Tamura, K., Matsutani, H.","57191594445;35617834900;","An in-kernel NOSQL cache for range queries using FPGA NIC",2016,"2016 International Conference on FPGA Reconfiguration for General-Purpose Computing, FPGA4GPC 2016",,,"7518528","13","18",,1,"10.1109/FPGA4GPC.2016.7518528","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991795052&doi=10.1109%2fFPGA4GPC.2016.7518528&partnerID=40&md5=4aba1d0740a95910b18dbd9711f6319d",Conference Paper,"Final","",Scopus,2-s2.0-84991795052
"Hamada, A., Matsutani, H.","57193574448;35617834900;","Design and implementation of hardware cache mechanism and NIC for column-oriented databases",2016,"2016 International Conference on Reconfigurable Computing and FPGAs, ReConFig 2016",,,"7857164","","",,,"10.1109/ReConFig.2016.7857164","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015043323&doi=10.1109%2fReConFig.2016.7857164&partnerID=40&md5=30a5f6b1f30723cde21c4dc0058d8c21",Conference Paper,"Final","",Scopus,2-s2.0-85015043323
"Banerjee, S., Sarkar, A.","57208159197;57193313016;","Ontology Driven Meta-Modeling for NoSQL Databases: A Conceptual Perspective",2016,"International Journal of Software Engineering and its Applications","10","12",,"41","64",,8,"10.14257/ijseia.2016.10.12.05","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009233079&doi=10.14257%2fijseia.2016.10.12.05&partnerID=40&md5=4bd8bb8e377f8dec1caec7852aedf13c",Article,"Final","",Scopus,2-s2.0-85009233079
"Abdelhedi, F., Brahim, A.A., Atigui, F., Zurfluh, G.","57206513787;57192639518;55328022200;6507596657;","Big data and knowledge management: How to implement conceptual models in NoSQL systems'",2016,"IC3K 2016 - Proceedings of the 8th International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management","3",,,"235","240",,7,"10.5220/0006082302350240","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007021159&doi=10.5220%2f0006082302350240&partnerID=40&md5=dce3f743a22ea30be471beddff015f46",Conference Paper,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85007021159
"Neeru, Kaur, B.","57192270992;57209097566;","Cassandra vs MySQL: Modelling and querying format",2016,"International Journal of Control Theory and Applications","9","Specialissue11",,"5199","5206",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85002670625&partnerID=40&md5=a3fe7bb639189fc0c5c6811fb7dbc020",Article,"Final","",Scopus,2-s2.0-85002670625
"Yangui, R., Nabli, A., Gargouri, F.","56491335100;14052503000;6602113319;","Automatic Transformation of Data Warehouse Schema to NoSQL Data Base: Comparative Study",2016,"Procedia Computer Science","96",,,"255","264",,27,"10.1016/j.procs.2016.08.138","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988811178&doi=10.1016%2fj.procs.2016.08.138&partnerID=40&md5=f01522eb17997468950cdc7fd2c96d10",Conference Paper,"Final","All Open Access, Gold",Scopus,2-s2.0-84988811178
"Dehdouh, K.","56347659700;","Building OLAP cubes from columnar NoSQL data warehouses",2016,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","9893 LNCS",,,"166","179",,12,"10.1007/978-3-319-45547-1_14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988640565&doi=10.1007%2f978-3-319-45547-1_14&partnerID=40&md5=5e17c3dbd547ed175ece0cde06e81f91",Conference Paper,"Final","",Scopus,2-s2.0-84988640565
"Abdelhedi, F., Ait Brahim, A., Atigui, F., Zurfluh, G.","57206513787;57190393737;55328022200;6507596657;","MDA transformation process of a data conceptual schema into a NoSQL logical schema [Processus de transformation MDA d'un schéma conceptuel de données en un schéma logique NoSQL]",2016,"INFORSID 2016 - Actes du 8e Forum Jeunes Chercheurs du Congres INFORSID",,,,"15","30",,4,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979650198&partnerID=40&md5=1bbdeb8151a9761af7e28e81f6da12d0",Conference Paper,"Final","",Scopus,2-s2.0-84979650198
"Scabora, L.C., Brito, J.J., Ciferri, R.R., De Aguiar Ciferri, C.D.","57190378250;49660999300;22733677800;22733364200;","Physical data warehouse design on NoSQL databases: OLAP query processing over HBase",2016,"ICEIS 2016 - Proceedings of the 18th International Conference on Enterprise Information Systems","1",,,"111","118",,14,"10.5220/0005815901110118","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979516742&doi=10.5220%2f0005815901110118&partnerID=40&md5=f3cb9e847ffffeb271a2f7f04b45e0b8",Conference Paper,"Final","",Scopus,2-s2.0-84979516742
