Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Kim, S., Kanwar, Y.S.","57218448131;57215608180;","GeoYCSB: A Benchmark Framework for the Performance and Scalability Evaluation of NoSQL Databases for Geospatial Workloads",2019,"Proceedings - 2019 IEEE International Conference on Big Data, Big Data 2019",,,"9005570","3666","3675",,1,"10.1109/BigData47090.2019.9005570","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081394723&doi=10.1109%2fBigData47090.2019.9005570&partnerID=40&md5=9136aadcfee3aeda71dfa4e48e89f104",Conference Paper,"Final","",Scopus,2-s2.0-85081394723
"Sveen, A.F.","57211411694;","Efficient storage of heterogeneous geospatial data in spatial databases",2019,"Journal of Big Data","6","1","102","","",,4,"10.1186/s40537-019-0262-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075123569&doi=10.1186%2fs40537-019-0262-8&partnerID=40&md5=1795b6b6ee5aade25f8c034f94aac226",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85075123569
"Pinet, F., Runz, C.D.","8960254300;57203638826;","Representing diagrams of imperfect geographic objects",2019,"Geographic Data Imperfection 1: From Theory to Applications",,,,"105","112",,,"10.1002/9781119507284.ch06","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102156634&doi=10.1002%2f9781119507284.ch06&partnerID=40&md5=25d4ee984ad57a177099e901e6e08817",Book Chapter,"Final","",Scopus,2-s2.0-85102156634
"Ferro, M., Fragoso, R., Fidalgo, R.","57210963656;57192666458;8659107700;","Document-oriented geospatial data warehouse: An experimental evaluation of SOLAP queries",2019,"Proceedings - 21st IEEE Conference on Business Informatics, CBI 2019","1",,"8808080","47","56",,3,"10.1109/CBI.2019.00013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072028667&doi=10.1109%2fCBI.2019.00013&partnerID=40&md5=2a81e3115df7faac4de897c9bc2bd097",Conference Paper,"Final","",Scopus,2-s2.0-85072028667
"Makris, A., Tserpes, K., Anagnostopoulos, D., Nikolaidou, M., De Macedo, J.A.F.","57192161384;6506348972;7006520277;57194042339;22034115100;","Database system comparison based on spatiotemporal functionality",2019,"ACM International Conference Proceeding Series",,,"a21","","",,5,"10.1145/3331076.3331101","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070943830&doi=10.1145%2f3331076.3331101&partnerID=40&md5=a20133666112ae40895fa77971d2c5a4",Conference Paper,"Final","",Scopus,2-s2.0-85070943830
"Kim, T., Kim, K.-S., Lee, J., Matono, A., Lit, K.-J.","55763792568;57184508400;57188659911;23397696500;57208407771;","Efficient Encoding and Decoding Extended Geocodes for Massive Point Cloud Data",2019,"2019 IEEE International Conference on Big Data and Smart Computing, BigComp 2019 - Proceedings",,,"8679177","","",,3,"10.1109/BIGCOMP.2019.8679177","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064717142&doi=10.1109%2fBIGCOMP.2019.8679177&partnerID=40&md5=1ccb27d015ae8e0b8af371a66dd79753",Conference Paper,"Final","",Scopus,2-s2.0-85064717142
"Ferro, M., Lima, R., Fidalgo, R.","57210963656;36175808200;8659107700;","Evaluating Redundancy and Partitioning of Geospatial Data in Document-Oriented Data Warehouses",2019,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","11708 LNCS",,,"221","235",,1,"10.1007/978-3-030-27520-4_16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077126744&doi=10.1007%2f978-3-030-27520-4_16&partnerID=40&md5=2a40e69f16d88f960135a2318f42607c",Conference Paper,"Final","",Scopus,2-s2.0-85077126744
"Sharma, M., Bundele, M.","55468806800;35753032900;","Analysis of NoSQL schema design approaches using HBase for GIS data",2019,"Procedia Computer Science","152",,,"59","65",,,"10.1016/j.procs.2019.05.027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068403557&doi=10.1016%2fj.procs.2019.05.027&partnerID=40&md5=f2496a0d8592048b82de353ad2d50a77",Conference Paper,"Final","All Open Access, Gold",Scopus,2-s2.0-85068403557
"Tangherlini, M., Miralto, M., Colantuono, C., Sangiovanni, M., Dell' Anno, A., Corinaldesi, C., Danovaro, R., Chiusano, M.L.","55365199800;36572186900;57188924007;56178249500;6603874738;6506792951;7004303561;35565731300;","GLOSSary: The GLobal Ocean 16S subunit web accessible resource",2018,"BMC Bioinformatics","19",,"443","","",,4,"10.1186/s12859-018-2423-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057522345&doi=10.1186%2fs12859-018-2423-8&partnerID=40&md5=459bfc6b007818594d59b36dde77e2d4",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85057522345
"Laksono, D.","57200993419;","Testing Spatial Data Deliverance in SQL and NoSQL Database Using NodeJS Fullstack Web App",2018,"Proceedings - 2018 4th International Conference on Science and Technology, ICST 2018",,,"8528705","","",,6,"10.1109/ICSTC.2018.8528705","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058501001&doi=10.1109%2fICSTC.2018.8528705&partnerID=40&md5=996086453cb77a96a497e6b97fc7125c",Conference Paper,"Final","",Scopus,2-s2.0-85058501001
"Rodríguez, F.R., Villa, D.T., Cambero, J.P., Fernández, D.J.M.","55421272100;57208246716;57208248332;57208246650;","Big data management of sea surface wind data",2018,"International Geoscience and Remote Sensing Symposium (IGARSS)","2018-July",,"8519604","990","993",,1,"10.1109/IGARSS.2018.8519604","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064220001&doi=10.1109%2fIGARSS.2018.8519604&partnerID=40&md5=9fb656ebfb4113e233a8c54236605851",Conference Paper,"Final","",Scopus,2-s2.0-85064220001
"Akbar, A.M.A.M., Purnama, I.K.E., Nugroho, S.M.S., Hariadi, M.","57209105238;35794232900;55441028000;6506147709;","Fast and Efficient Cluster Based Map for Ship Tracking",2018,"2018 International Conference on Computer Engineering, Network and Intelligent Multimedia, CENIM 2018 - Proceeding",,,"8710934","265","269",,2,"10.1109/CENIM.2018.8710934","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066474617&doi=10.1109%2fCENIM.2018.8710934&partnerID=40&md5=85183ce58d70e3c52ceb5949f5edf1d1",Conference Paper,"Final","",Scopus,2-s2.0-85066474617
"Sharma, M., Sharma, V.D., Bundele, M.M.","55468806800;57209023686;35753032900;","Performance Analysis of RDBMS and No SQL Databases: PostgreSQL, MongoDB and Neo4j",2018,"3rd International Conference and Workshops on Recent Advances and Innovations in Engineering, ICRAIE 2018",,,"8710439","","",,10,"10.1109/ICRAIE.2018.8710439","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066327966&doi=10.1109%2fICRAIE.2018.8710439&partnerID=40&md5=5c81e5101dfe82724ac6002b55668357",Conference Paper,"Final","",Scopus,2-s2.0-85066327966
"Vasavi, S., Priya, M.P., Gokhale, A.A.","23986854500;57202820411;8263437400;","Framework for geospatial query processing by integrating cassandra with hadoop",2018,"GIS Applications in the Tourism and Hospitality Industry",,,,"1","41",,,"10.4018/978-1-5225-5088-4.ch001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049479980&doi=10.4018%2f978-1-5225-5088-4.ch001&partnerID=40&md5=1c65291533f7eaac8e08af83fe184be9",Book Chapter,"Final","",Scopus,2-s2.0-85049479980
"Poļakova, M., Vitols, G.","57205408432;36663119400;","Use of NoSQL technology for analysis of unstructured spatial data",2018,"Research for Rural Development","2",,,"267","270",,1,"10.22616/rrd.24.2018.082","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059909481&doi=10.22616%2frrd.24.2018.082&partnerID=40&md5=326c26c6a3fbc09c248578882f7efd7e",Conference Paper,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85059909481
"Shah, P., Chaudhary, S.","57190075310;57195375349;","Big data analytics framework for spatial data",2018,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","11297 LNCS",,,"250","265",,5,"10.1007/978-3-030-04780-1_17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059016386&doi=10.1007%2f978-3-030-04780-1_17&partnerID=40&md5=a8bd8f6c0dcd4f3ab16acec0b2ffd3a4",Conference Paper,"Final","",Scopus,2-s2.0-85059016386
"Vasavi, S., Padma Priya, M., Gokhale, A.A.","23986854500;57201633082;8263437400;","Framework for geospatial query processing by integrating cassandra with hadoop",2018,"Knowledge Computing and Its Applications: Knowledge Manipulation and Processing Techniques: Volume 1",,,,"131","160",,4,"10.1007/978-981-10-6680-1_7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046585700&doi=10.1007%2f978-981-10-6680-1_7&partnerID=40&md5=622a17faa541a5096608ffff62bee11d",Book Chapter,"Final","",Scopus,2-s2.0-85046585700
"Yue, P., Tan, Z.","22236245400;56421169400;","GIS Databases and NoSQL Databases",2017,"Comprehensive Geographic Information Systems","3",,,"50","79",,1,"10.1016/B978-0-12-409548-9.09596-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082368164&doi=10.1016%2fB978-0-12-409548-9.09596-8&partnerID=40&md5=8fbd633ae43f4e7ac71234fff7cacd19",Book Chapter,"Final","",Scopus,2-s2.0-85082368164
"Baralis, E., Valle, A.D., Garza, P., Rossi, C., Scullino, F.","6604031630;57215117326;36909944300;56530121000;56781461300;","SQL versus NoSQL databases for geospatial applications",2017,"Proceedings - 2017 IEEE International Conference on Big Data, Big Data 2017","2018-January",,,"3388","3397",,11,"10.1109/BigData.2017.8258324","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047790974&doi=10.1109%2fBigData.2017.8258324&partnerID=40&md5=673f74f18074b4f837a4319a5e6ccc58",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85047790974
"Li, S., Yang, H., Huang, Y., Zhou, Q.","56453649200;56957371400;35104961900;56453690900;","Geo-spatial Big Data Storage Based on NoSQL Database",2017,"Wuhan Daxue Xuebao (Xinxi Kexue Ban)/Geomatics and Information Science of Wuhan University","42","2",,"163","169",,18,"10.13203/j.whugis20140774","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018735241&doi=10.13203%2fj.whugis20140774&partnerID=40&md5=6ea98760a0985a298fb9869eec7c799e",Article,"Final","",Scopus,2-s2.0-85018735241
"Wu, C., Zhu, Q., Zhang, Y., Du, Z., Ye, X., Qin, H., Zhou, Y.","55585973400;56430230500;10640001500;57203812343;36474249400;55794604500;57191652421;","A NoSQL-SQL hybrid organization and management approach for real-time geospatial data: A case study of public security video surveillance",2017,"ISPRS International Journal of Geo-Information","6","1","21","","",,15,"10.3390/ijgi6010021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011112266&doi=10.3390%2fijgi6010021&partnerID=40&md5=2b7df35ef68ae10d4d3c1a6b63a1eb70",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85011112266
"Agarwal, S., Rajan, K.S.","57219271945;56397697900;","Performance analysis of MongoDB versus PostGIS/PostGreSQL databases for line intersection and point containment spatial queries",2016,"Spatial Information Research","24","6",,"671","677",,15,"10.1007/s41324-016-0059-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041858503&doi=10.1007%2fs41324-016-0059-1&partnerID=40&md5=3b633ff9eb8cd92ea2545462c78fbb50",Article,"Final","",Scopus,2-s2.0-85041858503
"Guney, C.","6701390950;","Rethinking GIS towards the vision of smart cities through CityGML",2016,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives","42","2W1",,"121","129",,3,"10.5194/isprs-archives-XLII-2-W1-121-2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045887757&doi=10.5194%2fisprs-archives-XLII-2-W1-121-2016&partnerID=40&md5=bb7e7ab7719aced517340d64020b5055",Conference Paper,"Final","All Open Access, Gold",Scopus,2-s2.0-85045887757
"Moins, I., Boggio, D.","57193401455;57193411404;","SIRS Digues 2.0: A Cooperative Software for Levees Management",2016,"E3S Web of Conferences","7",,"04018","","",,,"10.1051/e3sconf/20160704018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013648282&doi=10.1051%2fe3sconf%2f20160704018&partnerID=40&md5=a6da9d2d542ddbf043c1f2d381765b63",Conference Paper,"Final","All Open Access, Gold",Scopus,2-s2.0-85013648282
"Pan, M.-Y., Gao, L.-J., Song, P.-L., Zhao, L.-N.","55452678900;57188810756;57188806936;23112107400;","MongoDB based ship database construction and batch migration technology of its data",2016,"Dalian Haishi Daxue Xuebao/Journal of Dalian Maritime University","42","1",,"39","44",,1,"10.16411/j.cnki.issn1006-7736.2016.01.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963591018&doi=10.16411%2fj.cnki.issn1006-7736.2016.01.008&partnerID=40&md5=70f84b5ae75045710190517e90979ab1",Article,"Final","",Scopus,2-s2.0-84963591018
"Cheng, B., Guan, X.","57213873447;34872128700;","Design and evaluation of a high-concurrency web map tile service framework on a high performance cluster",2016,"International Journal of Grid and Distributed Computing","9","12",,"127","142",,2,"10.14257/ijgdc.2016.9.12.12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027080695&doi=10.14257%2fijgdc.2016.9.12.12&partnerID=40&md5=bd35f041ce3fe82f4517ac1e66fce8fb",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85027080695
"Navarro-Carrión, J.T., Zaragozí, B., Ramón-Morte, A., Valcárcel-Sanz, N.","55746607600;54793821200;56768064500;56520365100;","Should eu land use and land cover data be managed with a Nosql document store?",2016,"International Journal of Design and Nature and Ecodynamics","11","3",,"438","446",,3,"10.2495/DNE-V11-N3-438-446","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991503382&doi=10.2495%2fDNE-V11-N3-438-446&partnerID=40&md5=064abc091d78120710e24506e20b985e",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-84991503382
"Munoz, A.C., Brovelli, M.A., Corti, S., Zamboni, G.","57193854530;6602533891;57218871372;55387889000;","Big geo data management: An exploration with social media and telecommunications open data",2016,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives","41",,,"595","601",,,"10.5194/isprsarchives-XLI-B2-595-2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981244426&doi=10.5194%2fisprsarchives-XLI-B2-595-2016&partnerID=40&md5=88b5ba715a7aca17c695b59e24d69046",Conference Paper,"Final","All Open Access, Gold",Scopus,2-s2.0-84981244426
"Xiang, L., Shao, X., Wang, D.","8514130100;57190162701;57190173482;","Providing R-tree support for MongoDB",2016,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives","41",,,"545","549",,3,"10.5194/isprsarchives-XLI-B4-545-2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978120427&doi=10.5194%2fisprsarchives-XLI-B4-545-2016&partnerID=40&md5=ba1940f3c39687f419cb07d60df4a4db",Conference Paper,"Final","All Open Access, Gold",Scopus,2-s2.0-84978120427
"Simmonds, R., Watson, P., Halliday, J.","57189601540;7402745135;24830211700;","Antares: A Scalable, Real-Time, Fault Tolerant Data Store for Spatial Analysis",2015,"Proceedings - 2015 IEEE World Congress on Services, SERVICES 2015",,,"7196511","105","112",,3,"10.1109/SERVICES.2015.24","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973333851&doi=10.1109%2fSERVICES.2015.24&partnerID=40&md5=0c10fa2ae59abedec07ae6e6ccbee0ec",Conference Paper,"Final","",Scopus,2-s2.0-84973333851
"Ameri, P., Grabowski, U., Meyer, J., Streit, A.","56519936800;8514315800;57220554816;55967713500;","On the application and performance of MongoDB for climate satellite data",2015,"Proceedings - 2014 IEEE 13th International Conference on Trust, Security and Privacy in Computing and Communications, TrustCom 2014",,,"7011308","652","659",,12,"10.1109/TrustCom.2014.84","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923032333&doi=10.1109%2fTrustCom.2014.84&partnerID=40&md5=0589908692a8241c3b14cfba7d4045d0",Conference Paper,"Final","",Scopus,2-s2.0-84923032333
"Boehm, J., Liu, K.","57147072600;56539060900;","Nosql for storage and retrieval of large lidar data collections",2015,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives","40","3W3",,"577","582",,9,"10.5194/isprsarchives-XL-3-W3-577-2015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959359786&doi=10.5194%2fisprsarchives-XL-3-W3-577-2015&partnerID=40&md5=add727359d490c1237c794958750e803",Conference Paper,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84959359786
"Han, D., Stroulia, E.","55339103600;6603883706;","Federating web-based applications on a hierarchical cloud",2014,"IEEE International Conference on Cloud Computing, CLOUD",,,"6973842","946","947",,5,"10.1109/CLOUD.2014.136","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919800614&doi=10.1109%2fCLOUD.2014.136&partnerID=40&md5=8db5336a2990eff8d75090510a5c303d",Conference Paper,"Final","",Scopus,2-s2.0-84919800614
"Ramanathan, R., Korte, T.","54581531000;56439245600;","Software service architecture to access weather data using RESTful web services",2014,"5th International Conference on Computing Communication and Networking Technologies, ICCCNT 2014",,,"6963122","","",,5,"10.1109/ICCCNT.2014.6963122","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84915751197&doi=10.1109%2fICCCNT.2014.6963122&partnerID=40&md5=8822eabb8fbeb3f9b164ded1d9428410",Conference Paper,"Final","",Scopus,2-s2.0-84915751197
"Yue, P., Jiang, L.","22236245400;55946431600;","BigGIS: How big data can shape next-generation GIS",2014,"2014 The 3rd International Conference on Agro-Geoinformatics, Agro-Geoinformatics 2014",,,"6910649","","",,13,"10.1109/Agro-Geoinformatics.2014.6910649","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84910018758&doi=10.1109%2fAgro-Geoinformatics.2014.6910649&partnerID=40&md5=2154909422e14b0537e755e61263122c",Conference Paper,"Final","",Scopus,2-s2.0-84910018758
"Zhong, Y., Fang, J., Zhao, X.","35222670000;7402966443;56022060800;","VegaIndexer: A Distributed composite index scheme for big spatio-temporal sensor data on cloud",2013,"International Geoscience and Remote Sensing Symposium (IGARSS)",,,"6723126","1713","1716",,13,"10.1109/IGARSS.2013.6723126","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894238996&doi=10.1109%2fIGARSS.2013.6723126&partnerID=40&md5=d80ebfe6b4bcfdd1303d075ec5b5836c",Conference Paper,"Final","",Scopus,2-s2.0-84894238996
"Zhong, Y., Han, J., Fang, J.","35222670000;23008759600;7402966443;","An adaptive hierarchical caching scheme for remotely sensed database",2013,"International Geoscience and Remote Sensing Symposium (IGARSS)",,,"6721229","604","607",,1,"10.1109/IGARSS.2013.6721229","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894231118&doi=10.1109%2fIGARSS.2013.6721229&partnerID=40&md5=eef1fbb514e576d64f472059d15ed41b",Conference Paper,"Final","",Scopus,2-s2.0-84894231118
"Sorokine, A., Stewart, R.N.","16176633600;13410467900;","Spatio-temporal data model for integrating evolving nation-level datasets",2013,"ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences","4","4W2",,"69","76",,,"10.5194/isprs-annals-IV-4-W2-69-2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048905036&doi=10.5194%2fisprs-annals-IV-4-W2-69-2017&partnerID=40&md5=bb635c98694a7aee21bf19986b10df9e",Conference Paper,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85048905036
"Wu, H., Guan, X., Liu, T., You, L., Li, Z.","55745907000;34872128700;56655716000;55809852100;55809974300;","A high-concurrency web map tile service built with open-source software",2013,"Modern accelerator technologies for geographic information science","9781461487456",,,"183","195",,1,"10.1007/978-1-4614-8745-6_14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929856303&doi=10.1007%2f978-1-4614-8745-6_14&partnerID=40&md5=99c6a830c445779b05f7a1ba81a4149e",Book Chapter,"Final","",Scopus,2-s2.0-84929856303
"Hu, D., Chen, N., Cao, Q.","43461294300;56416922600;57203559989;","Design and implementation of geospatial information database in Mobile Internet",2011,"2011 International Conference on Computer and Management, CAMAN 2011",,,"5778727","","",,,"10.1109/CAMAN.2011.5778727","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960548767&doi=10.1109%2fCAMAN.2011.5778727&partnerID=40&md5=95aa49d42456e44a365b502bc3422771",Conference Paper,"Final","",Scopus,2-s2.0-79960548767
